Blog	four	second	here	until	example	want	how	wrong	series	re	service	saying	best	much	life	things	had	has	right	old	people	support	happy	later	time	leave	team	love	working	such	data	so	years	didn	internet	million	one	vote	open	city	future	say	take	going	where	former	being	around	world	power	her	october	am	an	as	at	tv	th	case	small	past	hours	more	company	its	always	found	really	try	also	microsoft	set	see	whole	using	couple	d	be	by	anything	clinton	into	link	line	up	us	ago	having	video	let	great	makes	next	process	doing	could	system	should	email	ve	off	less	have	become	does	problem	worth	told	work	after	then	them	they	network	created	another	what	do	away	we	com	easy	night	post	months	way	was	together	change	live	can	use	still	half	not	now	year	care	than	online	only	between	these	media	real	read	early	t	business	your	start	lot	trying	since	month	very	family	site	help	actually	event	put	american	pretty	during	x	won	probably	both	else	look	while	used	game	some	step	doesn	e	go	started	special	times	need	based	course	she	i	well	page	twitter	home	he	star	friends	even	new	ever	never	call	tell	give	before	better	went	isn	don	m	stop	bad	said	against	three	if	make	left	just	deal	down	me	did	run	making	may	man	maybe	talk	nbsp	morning	earlier	thing	think	first	little	hillary	were	especially	show	enough	black	get	those	different	same	running	money	again	u	public	free	two	needs	through	good	everyone	house	hard	done	least	part	most	find	point	spent	big	bit	google	often	back	links	ll	instead	day	announced	thought	like	about	buy	but	under	every	would	my	keep	end	over	each	got	days	already	top	too	took	though	watch	full	news	been	social	election	everything	why	donald	no	when	cool	level	says	today	trump	name	place	any	sure	state	come	someone	week	without	blog	or	there	all	thursday	woman	version	short	might	number	feel	story	nothing	his	him	art	are	recently	long	called	once	car	apple	app	few	something	many	our	out	their	which	who	words	available	last	will	other	know	because	getting	own	made	whether	book
mezzoblue	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	1	1	0	3	0	0	0	0	0	0	1	0	0	1	2	1	1	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	3	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	5	1	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	3	2	1	0	0	1	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	5	0	0	0	3	0	0	3	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Eschaton	0	1	2	0	0	2	3	0	0	5	0	0	0	0	1	0	1	4	0	0	10	1	2	0	4	0	3	0	0	0	0	5	2	0	0	0	5	4	1	0	0	1	0	4	2	2	0	2	0	0	8	3	0	4	6	19	0	3	0	4	0	0	1	0	0	0	0	6	0	0	0	0	3	2	1	0	3	11	5	1	8	1	0	1	4	0	0	0	0	1	1	0	0	0	1	0	1	0	0	4	2	1	6	0	0	0	0	0	0	4	0	3	9	0	1	3	7	1	0	8	2	0	1	0	0	1	4	0	0	0	9	0	0	0	10	0	0	1	1	0	1	0	2	0	0	1	0	12	1	3	0	3	1	0	1	0	0	0	0	4	0	0	3	1	0	0	0	2	0	0	0	0	0	1	4	0	0	1	0	0	0	2	2	0	3	0	21	1	0	2	3	3	2	0	1	9	1	1	1	0	2	2	0	0	6	4	3	3	1	2	2	4	7	5	2	6	1	3	3	3	1	0	1	0	0	0	0	3	0	1	4	3	0	3	3	0	0	0	2	2	3	1	2	0	0	1	2	0	1	1	1	1	3	0	0	0	0	3	1	2	1	1	0	2	1	0	0	0	0	0	5	1	0	1	3	3	1	15	1	0	5	5	0	0	0	0	0	2	0	2	1	0	0	0	1	0	2	0	1	0	0	1	4	2	0	0	3	1	10	1	1	1	2	0	0	0	1	0	0	2	5	4	1	1	0	0	1	1	0	0	0	5	0	0	7	0	0	1	0	2	0	0	1	1	2	0	2	8	3	9	0	0	1	10	1	6	3	2	0	0	0	0
ShoeMoney	0	1	18	2	0	0	5	1	0	1	1	1	4	1	5	1	7	14	0	1	9	0	3	0	3	0	3	2	1	3	0	10	10	0	7	1	7	0	1	0	0	2	4	3	0	2	3	1	1	0	0	0	9	11	16	12	4	2	0	1	1	0	6	4	2	1	1	4	0	3	2	1	5	0	1	1	0	0	6	2	0	2	2	0	1	19	2	1	0	1	4	0	1	0	3	1	0	1	2	1	2	0	31	0	0	0	0	3	4	5	6	1	12	4	0	2	10	4	0	10	3	0	0	4	2	0	15	5	0	22	9	0	1	2	5	4	1	0	2	1	3	0	1	5	0	2	0	9	5	9	2	6	1	3	0	0	1	0	0	2	3	2	0	2	1	0	1	1	0	0	1	5	2	1	3	0	0	0	5	7	3	2	4	2	3	1	65	7	1	0	0	16	0	6	3	2	0	1	0	0	2	3	0	0	0	4	1	1	1	4	1	1	5	3	0	3	2	0	9	3	0	0	0	0	3	1	0	1	0	0	1	7	0	0	6	0	35	1	0	5	0	2	2	2	1	1	0	1	1	1	0	3	0	2	0	1	3	1	1	3	0	0	0	3	1	4	0	1	0	0	0	3	0	3	6	10	0	13	0	0	4	20	2	0	6	2	6	1	1	3	0	2	0	0	0	1	13	0	0	1	2	0	2	9	0	0	0	14	0	1	0	1	1	0	11	1	1	0	3	4	3	7	0	0	0	1	0	0	0	0	0	5	7	0	8	2	1	1	2	0	0	1	4	3	1	4	5	8	3	4	0	1	2	0	6	4	2	1	1	0	0	0
Slashdot	4	2	3	1	2	3	6	0	4	8	8	4	0	4	0	3	5	20	3	0	8	4	0	0	2	2	0	0	2	2	10	7	4	0	11	6	7	5	1	1	2	2	2	3	4	0	1	3	2	2	0	0	0	21	21	36	14	0	12	0	1	0	25	6	14	0	6	1	0	11	0	1	6	0	4	0	3	27	14	2	0	6	2	0	5	3	3	2	4	2	0	4	3	0	0	6	2	1	0	1	1	2	20	1	2	1	2	4	0	8	7	5	16	3	0	0	5	7	1	14	0	1	0	2	1	3	17	0	4	2	12	21	6	1	8	8	3	1	9	2	6	4	1	2	1	16	0	10	1	10	5	0	0	3	4	0	1	1	0	1	3	1	1	1	2	2	1	0	2	0	1	5	4	3	3	0	1	2	5	2	1	1	2	3	0	0	6	2	3	5	2	9	4	0	3	30	2	0	4	0	3	1	0	1	1	4	0	0	1	12	3	4	13	5	1	4	3	2	4	6	1	3	2	0	2	0	0	0	2	1	0	6	0	0	8	1	6	3	0	1	3	4	4	0	4	0	10	1	0	5	0	2	3	0	0	0	2	0	1	5	4	5	0	1	0	8	2	3	7	2	5	3	3	1	12	9	3	14	3	2	19	7	0	8	3	3	0	2	0	2	2	0	2	7	0	3	10	2	1	0	2	0	10	7	0	2	5	9	0	0	3	3	1	3	2	1	1	2	1	17	6	6	2	0	3	1	5	1	0	16	0	7	0	0	20	1	1	4	1	0	23	15	0	1	4	0	13	6	15	6	0	7	3	28	14	3	4	1	1	5	2	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	2	0	0	0	0	3	2	0	0	1	0	0	0	2	0	0	3	1	0	0	1	0	1	0	1	1	0	1	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	2	5	0	1	0	0	0	0	2	0	0	1	0	1	1	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	0	4	1	0	2	0	0	1	0	0	1	1	0	2	1	0	0	1	1	0	1	3	0	1	0	0	0	1	5	0	0	0	3	0	1	0	0	3	3	0	0	1	0	0	1	1	0	1	2	3	0	5	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	21	0	0	0	0	3	0	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	1	1	2	1	3	0	0	1	2	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	8	0	1	0	0	0	3	1	0	3	6	0	2	0	1	1	6	1	1	2	1	0	2	0	0	1	1	0	1	2	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	1	0
Gothamist	1	3	6	0	0	2	1	1	1	3	2	0	2	2	1	1	4	5	2	2	0	0	0	0	9	0	1	1	0	1	1	7	3	1	1	3	9	2	4	16	0	2	1	0	3	2	3	2	2	0	5	0	0	14	11	21	0	4	1	1	1	0	47	1	6	3	0	4	2	3	0	1	2	0	0	0	0	7	9	0	10	11	0	1	11	3	0	1	3	0	4	0	3	0	0	2	0	5	1	4	5	0	5	2	0	0	0	1	0	9	2	0	6	0	0	1	6	0	1	9	0	0	6	1	1	1	11	1	0	1	7	0	2	0	4	6	6	2	8	1	1	3	3	3	0	1	1	10	2	6	1	0	1	0	2	1	2	0	0	0	0	3	0	1	1	0	1	0	1	0	0	3	1	0	4	0	0	0	1	0	2	2	1	1	0	4	4	2	0	4	5	8	0	0	3	26	1	0	0	2	1	4	0	0	1	6	1	2	0	0	0	1	3	1	0	11	0	1	1	0	1	0	2	5	0	0	3	2	3	0	1	4	2	3	4	0	4	0	2	5	1	1	1	0	0	0	0	3	0	3	1	6	3	0	2	1	0	1	2	3	1	1	0	1	0	0	0	3	3	2	1	5	2	0	9	10	0	8	1	2	8	1	0	3	4	0	2	1	1	3	0	1	2	2	1	6	4	4	2	1	3	1	4	7	0	1	3	6	14	1	1	0	0	3	0	2	2	0	0	8	6	9	2	3	0	2	1	0	0	1	0	7	0	2	12	3	3	2	0	0	0	0	2	2	3	5	12	8	4	12	2	1	5	14	2	0	3	3	1	0	1	0
BuzzMachine	0	0	5	0	0	3	2	0	0	0	0	0	0	1	0	1	1	0	1	3	0	0	0	2	2	0	0	0	0	1	1	3	3	3	0	0	1	2	0	1	1	2	0	1	0	0	0	0	1	0	2	0	1	7	6	3	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	0	0	1	1	1	0	6	0	0	0	1	2	0	0	0	0	0	0	0	0	1	3	0	0	0	5	0	0	2	0	0	1	0	0	1	0	1	2	4	0	0	2	9	2	0	8	0	0	0	1	0	0	5	0	5	0	3	0	2	0	7	1	1	0	0	0	2	0	1	2	0	0	1	7	2	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	3	25	0	1	0	0	5	0	2	0	3	0	1	1	1	0	1	1	0	1	1	2	2	0	5	2	0	0	0	1	0	0	0	5	2	0	1	0	0	0	0	0	3	0	0	1	2	0	3	4	0	2	0	0	0	1	1	1	0	0	2	0	2	0	3	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	9	0	7	0	1	1	9	0	0	2	0	1	1	1	0	1	1	0	1	0	5	3	1	2	0	0	4	0	1	0	0	0	1	7	0	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	0	2	0	0	1	1	3	1	0	3	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0
Joho the Blog	0	2	3	0	0	0	1	5	0	0	0	0	0	0	0	5	1	0	1	0	4	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	12	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4	9	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	1	10	0	1	2	1	0	5	2	0	0	0	5	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	2	0	1	8	1	0	3	0	3	0	0	0	1	0	1	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	13	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	10	1	0	3	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	1	4	4	0	0	5	0	3	0	1
ongoing by Tim Bray	0	0	2	0	0	1	5	4	0	13	0	0	0	2	1	1	4	0	1	3	0	0	0	0	1	0	0	0	0	0	0	7	1	0	0	0	4	0	1	0	0	0	0	0	1	0	0	1	1	0	3	0	2	7	3	4	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	1	2	1	0	0	3	14	5	0	0	0	1	0	1	1	0	0	5	1	1	0	0	0	0	0	0	1	0	5	1	5	3	0	1	1	2	0	4	0	0	1	4	0	0	0	7	2	0	8	10	1	0	1	0	1	7	0	0	0	6	1	1	0	4	1	2	2	1	0	0	0	0	0	0	3	1	4	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	7	0	1	1	2	0	0	1	1	0	1	2	38	1	1	0	1	2	0	0	0	4	1	0	2	0	0	0	0	1	0	0	7	1	1	3	0	4	3	0	1	4	1	0	1	0	0	0	0	2	4	2	0	0	0	4	3	1	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	2	2	0	0	5	1	1	0	2	0	0	0	0	0	1	0	2	0	0	2	11	0	6	0	0	0	5	0	1	0	1	1	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	4	3	1	0	0	1	0	0	0	3	2	0	0	0	1	1	0	8	3	3	0	0	0	0	2	0	1	0	0	0	0	0	5	0	1	0	0	0	0	1	2	0	0	0	3	0	3	2	0	0	1	0	1	1	0	0	1	0	0	0
SpikedHumor - Today's Videos and Pictures	0	6	102	1	0	1	5	0	0	2	0	1	6	0	2	1	5	8	0	2	3	1	1	0	4	0	1	1	0	1	0	2	2	0	0	1	6	0	0	2	2	1	1	0	0	0	1	4	1	0	0	0	2	11	1	15	2	1	0	0	0	0	4	0	7	0	2	1	0	3	0	4	4	1	4	1	1	1	108	0	0	2	0	0	13	2	2	1	15	2	1	1	0	0	0	1	1	1	0	2	3	0	6	0	2	3	0	0	2	3	2	3	0	1	0	3	5	2	1	9	6	0	1	3	0	2	4	1	1	2	5	0	2	1	8	0	0	0	1	0	0	2	1	0	4	0	1	6	0	6	0	0	0	1	0	0	2	1	0	1	0	3	3	0	0	1	0	2	0	1	5	3	0	1	9	0	1	0	2	1	3	1	1	0	0	3	19	0	1	0	0	7	0	0	5	7	3	1	1	1	0	2	0	2	0	3	1	0	0	3	0	0	1	2	2	12	3	3	5	2	0	3	1	4	2	2	0	1	0	0	2	2	1	0	0	0	5	0	2	4	2	0	0	1	1	1	3	1	1	0	0	0	2	2	2	0	1	0	7	2	0	0	0	1	1	1	0	2	0	0	0	1	0	0	5	9	0	8	1	3	2	8	2	3	0	0	1	5	0	2	2	0	0	102	2	2	3	0	0	1	4	0	1	4	5	0	1	0	0	0	0	2	0	0	0	1	0	0	0	3	1	14	1	1	0	0	2	0	3	0	0	9	1	0	6	0	2	1	2	4	5	3	1	2	2	1	1	3	0	3	1	0	4	5	2	4	3	0	0	0	0	0
Neil Gaiman's Journal	10	1	39	7	3	16	36	2	5	11	2	14	8	32	12	52	74	32	16	16	61	4	13	6	39	2	3	9	6	8	0	60	20	13	6	0	57	8	0	2	0	11	11	42	13	2	11	14	20	4	23	2	18	67	81	82	8	17	7	2	2	7	37	0	6	4	10	29	3	18	0	9	22	7	5	12	34	115	73	10	0	24	10	3	44	45	19	13	1	7	7	4	16	3	20	31	0	17	6	37	12	6	81	4	6	6	3	17	18	14	17	40	63	0	2	8	59	39	20	172	31	2	16	10	15	18	166	9	5	3	48	10	20	3	70	36	30	3	15	11	23	12	15	4	5	21	7	76	0	20	4	9	7	8	7	24	14	4	11	21	12	23	14	8	1	0	10	8	8	5	11	17	5	1	36	2	7	11	18	6	2	2	14	2	2	35	447	16	2	5	5	98	0	6	20	65	11	16	8	6	8	24	6	18	5	9	68	0	5	34	1	18	50	17	13	20	4	5	85	20	10	7	13	5	1	7	307	9	3	19	15	32	12	0	53	6	9	8	5	42	8	11	5	4	16	4	0	7	7	20	3	12	28	6	5	6	8	0	13	8	13	2	4	6	16	0	3	35	4	24	7	21	3	14	62	107	3	76	2	4	46	74	4	13	25	12	20	23	9	5	21	5	8	5	5	6	49	2	0	8	15	0	17	53	2	4	3	6	0	3	6	16	8	1	10	6	14	6	17	83	54	57	3	5	6	6	6	1	6	14	4	59	47	67	79	2	22	11	6	0	0	2	19	22	14	29	70	22	42	54	12	5	29	51	21	15	33	8	6	17	3	74
Signal v. Noise - Medium	4	5	20	3	3	14	31	2	4	67	7	5	4	16	13	16	44	20	23	12	71	6	1	9	39	3	13	8	11	3	2	52	25	11	1	1	41	0	3	2	1	12	22	10	41	0	9	10	7	0	12	3	3	25	45	76	1	2	0	9	2	2	51	40	7	15	4	26	12	22	8	5	32	8	4	7	12	43	32	3	0	19	3	2	51	23	6	10	7	8	10	5	13	2	19	12	0	6	5	38	12	1	56	2	3	0	2	4	31	11	29	24	59	0	4	4	36	43	10	179	10	7	4	5	2	13	114	2	6	2	53	7	16	3	37	25	17	4	9	3	7	5	12	4	2	4	1	83	43	57	5	24	3	9	4	15	23	7	12	10	1	10	0	1	4	0	2	6	3	6	7	7	6	0	32	3	11	2	22	15	2	2	9	4	4	8	228	7	13	2	43	51	1	0	14	69	2	12	3	6	6	10	11	9	7	24	19	1	3	5	0	9	46	20	4	43	5	12	27	19	10	13	4	1	12	1	0	3	0	14	28	24	6	0	33	6	1	7	0	23	18	7	8	5	1	6	3	2	15	8	2	7	6	7	1	5	7	2	12	14	11	6	4	24	2	8	4	23	1	25	2	8	0	3	55	36	0	69	6	9	23	85	3	5	21	6	14	10	5	11	8	6	2	1	8	1	22	2	1	9	5	0	20	49	2	2	10	14	0	9	7	9	10	1	9	2	8	5	0	50	41	45	1	3	2	3	5	1	4	16	5	29	4	0	54	1	11	11	2	0	1	12	13	23	12	54	43	25	11	21	1	1	9	15	20	34	29	7	14	17	5	0
456 Berea Street	0	0	2	0	0	1	4	0	0	0	0	0	1	0	0	1	1	3	0	0	3	1	0	0	0	0	0	0	1	0	5	6	1	1	0	0	3	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	4	5	4	0	0	1	2	0	0	2	0	7	1	1	3	0	1	0	3	4	0	3	1	3	6	3	0	0	1	1	0	2	0	2	1	0	0	1	0	0	0	1	1	0	0	0	3	0	0	8	0	0	3	1	0	1	3	1	2	1	0	0	0	2	5	0	2	0	1	0	4	0	1	6	0	1	0	6	9	0	0	4	1	0	0	6	0	1	0	1	0	0	10	0	11	0	1	0	1	1	2	0	1	0	2	2	1	0	0	0	0	0	0	1	0	1	0	6	2	2	0	5	0	1	0	1	0	0	0	3	0	1	0	30	4	0	0	0	0	0	0	3	0	2	1	0	0	1	2	0	0	3	4	0	1	0	0	0	1	4	5	0	1	0	4	2	0	0	2	5	0	0	0	0	0	0	0	3	0	1	0	3	0	0	1	0	2	1	5	1	0	0	1	0	0	0	1	2	1	1	0	0	0	0	3	1	3	1	0	0	0	2	0	2	0	1	0	1	0	0	2	3	2	0	9	0	2	0	3	1	0	4	2	0	0	1	2	2	0	0	0	12	1	3	0	0	0	2	0	2	7	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	9	6	3	0	0	0	1	0	1	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	0	1	3	4	1	0	0	0	5	0	0	1	1	1	0	0	0
Joel on Software	5	2	9	2	3	28	20	0	1	47	0	0	6	8	1	15	11	18	9	3	44	1	3	1	12	1	12	3	5	2	1	57	5	25	9	6	17	2	10	6	4	3	6	14	8	0	5	12	11	1	0	1	1	22	32	32	0	2	3	5	0	3	21	10	3	5	6	18	4	4	8	4	9	4	15	1	5	46	16	5	0	13	2	1	37	14	0	1	0	10	26	9	4	0	3	13	14	5	2	4	6	1	51	0	4	3	2	2	18	4	8	24	74	3	0	1	25	31	2	135	3	4	0	4	3	20	35	3	4	5	50	13	9	2	23	21	5	3	15	3	6	1	9	0	2	4	3	67	9	31	8	12	7	9	2	9	2	6	10	13	1	2	0	5	1	0	0	2	11	5	5	9	6	1	23	6	10	0	13	6	3	1	15	2	2	0	52	11	3	2	1	1	0	1	18	22	1	7	4	3	4	4	11	4	0	22	7	3	4	3	0	8	32	22	3	30	1	4	14	4	1	6	4	0	3	0	21	0	0	7	10	16	13	0	11	1	2	2	0	31	13	11	5	11	18	3	0	6	12	8	3	2	6	2	0	5	6	1	1	12	10	5	2	12	10	4	6	5	0	13	0	2	0	6	23	26	4	36	1	15	13	10	5	1	9	6	9	4	14	4	7	2	7	2	4	3	9	2	0	12	9	0	5	21	1	1	2	10	0	2	4	17	6	0	5	1	0	8	5	41	22	42	0	0	13	3	18	7	0	2	2	0	1	16	52	1	4	7	2	3	1	3	9	11	6	34	24	21	26	18	4	4	3	21	16	14	18	11	9	4	1	0
Steve Pavlina	0	0	2	0	0	4	4	0	0	1	0	0	2	1	7	0	1	7	1	0	29	0	1	0	5	0	0	1	0	2	0	4	4	0	0	1	4	0	0	0	0	0	1	2	0	0	0	0	3	0	0	5	1	9	4	3	0	4	4	0	5	7	6	0	1	0	0	2	0	1	0	0	1	0	0	0	1	3	2	0	0	2	0	0	6	0	2	1	0	1	0	0	3	0	1	0	0	0	0	4	0	2	8	2	0	0	0	0	2	1	0	0	1	0	0	1	2	1	2	5	5	0	0	21	0	0	7	0	0	1	2	0	1	0	3	2	5	0	6	2	4	1	0	0	1	0	8	4	20	1	2	0	1	1	0	2	0	2	0	2	0	0	0	1	1	1	0	2	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	23	0	2	0	1	2	0	0	1	11	1	0	1	0	1	1	3	1	1	1	4	0	0	0	0	0	4	0	3	5	0	0	3	1	3	1	0	0	0	0	0	1	0	0	1	21	0	0	1	2	0	0	0	2	0	0	1	2	0	0	0	0	16	1	0	3	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	3	0	18	0	0	0	7	0	3	0	1	0	4	0	1	0	0	0	13	0	0	0	1	0	0	0	0	8	1	0	0	0	0	2	1	0	0	0	7	0	0	1	0	1	0	0	0	3	0	0	7	2	6	1	0	3	1	0	1	0	0	0	5	0	0	1	1	2	0	1	0	0	0	4	0	1	4	1	0	4	4	0	1	1	1	1	0	1	0	0	1	1	0
The Full Feed from HuffingtonPost.com	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	2	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	5	3	0	2	0	0	1	0	24	0	2	0	0	0	0	1	0	0	1	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	1	0	6	2	0	0	0	0	0	2	0	0	2	0	0	0	4	1	0	1	0	1	2	2	0	0	6	0	0	0	3	0	0	0	2	1	1	0	2	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	2	1	0	1	1	3	1	3	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	6	0	0	7	2	0	0	1	1	1	0	1	0	0	1	2	0	0	0	2	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	2	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	1	1	0	0	0	4	0	0
WIL WHEATON dot NET	5	3	16	5	0	25	14	4	0	16	0	1	7	11	17	22	17	10	17	5	12	0	3	1	30	1	0	7	13	2	0	51	10	20	5	0	30	0	0	1	26	6	5	23	10	0	10	16	4	1	7	1	13	24	62	33	1	0	0	9	3	3	43	0	5	7	3	18	3	11	0	6	12	9	0	10	23	56	5	8	0	25	0	0	37	17	11	8	0	10	4	1	6	3	19	20	3	5	0	21	8	9	59	2	3	1	5	7	12	6	14	19	25	0	0	5	20	36	5	71	2	3	8	0	1	23	85	13	1	3	36	6	10	4	37	26	11	4	17	2	17	4	8	0	10	10	2	103	0	23	5	13	4	0	7	7	1	0	2	5	1	11	0	8	2	0	2	9	1	1	14	5	4	0	25	2	10	3	27	6	0	3	4	0	1	19	460	6	0	2	4	16	1	3	29	3	2	4	1	4	6	15	11	2	7	24	50	7	2	36	3	5	33	21	6	41	3	9	47	15	6	5	7	1	8	1	1	3	0	29	11	11	15	0	25	1	3	3	1	43	9	3	4	2	0	2	1	0	2	7	2	13	16	3	8	7	7	4	9	7	7	2	6	6	5	0	1	14	1	9	4	14	0	10	57	46	2	68	1	10	16	91	10	1	11	6	15	7	2	2	11	7	13	7	8	1	36	0	0	5	5	0	9	47	7	3	0	8	0	1	4	6	7	0	5	8	5	6	0	43	30	36	0	1	2	5	1	3	18	16	4	10	3	5	28	3	4	1	8	6	2	0	10	19	3	13	45	10	17	21	13	1	7	17	12	27	46	9	6	12	2	2
